feature,gain
FactoryIssue_max,1.2206629514694214
FactoryIssue_trend,0.9258211255073547
Delivery_trend,0.8936858773231506
same_group_count,0.871320903301239
Production_std,0.8274457454681396
Production_max,0.7959144115447998
Production_mean,0.7927263975143433
same_subgroup_count,0.7210804224014282
SalesOrder_max,0.7206259369850159
Production_trend,0.7133631706237793
SalesOrder_mean,0.7029878497123718
SalesOrder_trend,0.646181583404541
SalesOrder_recent30,0.6453622579574585
same_plant_count,0.5948367118835449
SalesOrder_std,0.56858229637146
Production_recent30,0.4203101396560669
same_storage_count,0.401375412940979
Delivery_max,0.28023356199264526
Delivery_mean,0.1797860860824585
